Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.2.15-10.0.2.5-44581-5432-6,10.0.2.15,44581,10.0.2.5,5432,6,15/12/2025 11:06:17 PM,6078895,2,1,0,0,0,0,0,0,0,0,0,0,0,0.493510745,3039447.5,4297015.077,6077896,999,6077896,6077896,0,6077896,6077896,0,0,0,0,0,0,0,0,0,64,32,0.329007163,0.164503582,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,502,46,0,32,0,0,0,0,6077896,0,6077896,6077896,0
10.0.2.15-10.0.2.5-33843-5432-6,10.0.2.15,33843,10.0.2.5,5432,6,15/12/2025 11:07:57 PM,28158083,2,1,0,0,0,0,0,0,0,0,0,0,0,0.106541344,1.41E+07,1.99E+07,2.82E+07,1704,2.82E+07,2.82E+07,0,2.82E+07,2.82E+07,0,0,0,0,0,0,0,0,0,64,32,0.071027562,0.035513781,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,502,46,0,32,0,0,0,0,2.82E+07,0,2.82E+07,2.82E+07,0
10.0.2.15-10.0.2.5-39943-5432-6,10.0.2.15,39943,10.0.2.5,5432,6,15/12/2025 11:09:37 PM,12495939,2,1,0,0,0,0,0,0,0,0,0,0,0,0.240077997,6247969.5,8833322.867,1.25E+07,1867,1.25E+07,1.25E+07,0,1.25E+07,1.25E+07,0,0,0,0,0,0,0,0,0,64,32,0.160051998,0.080025999,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,502,46,0,32,0,0,0,0,1.25E+07,0,1.25E+07,1.25E+07,0
10.0.2.15-10.0.2.5-41201-5432-6,10.0.2.15,41201,10.0.2.5,5432,6,15/12/2025 11:09:33 PM,9338645,2,1,0,0,0,0,0,0,0,0,0,0,0,0.321245748,4669322.5,6602255.309,9337822,823,9337822,9337822,0,9337822,9337822,0,0,0,0,0,0,0,0,0,64,32,0.214163832,0.107081916,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,502,46,0,32,0,0,0,0,9337822,0,9337822,9337822,0
10.0.2.15-10.0.2.5-35647-5432-6,10.0.2.15,35647,10.0.2.5,5432,6,15/12/2025 11:07:51 PM,19153968,2,1,0,0,0,0,0,0,0,0,0,0,0,0.15662551,9576984,1.35E+07,1.92E+07,1352,1.92E+07,1.92E+07,0,1.92E+07,1.92E+07,0,0,0,0,0,0,0,0,0,64,32,0.104417006,0.052208503,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,502,46,0,32,0,0,0,0,1.92E+07,0,1.92E+07,1.92E+07,0
10.0.2.15-10.0.2.5-45449-5432-6,10.0.2.15,45449,10.0.2.5,5432,6,15/12/2025 11:08:43 PM,9440070,2,1,0,0,0,0,0,0,0,0,0,0,0,0.317794254,4720035,6672060.183,9437894,2176,9437894,9437894,0,9437894,9437894,0,0,0,0,0,0,0,0,0,64,32,0.211862836,0.105931418,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,502,46,0,32,0,0,0,0,9437894,0,9437894,9437894,0
10.0.2.15-10.0.2.5-37821-5432-6,10.0.2.15,37821,10.0.2.5,5432,6,15/12/2025 11:09:41 PM,12676451,2,1,0,0,0,0,0,0,0,0,0,0,0,0.236659298,6338225.5,8962126.61,1.27E+07,1045,1.27E+07,1.27E+07,0,1.27E+07,1.27E+07,0,0,0,0,0,0,0,0,0,64,32,0.157772866,0.078886433,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,502,46,0,32,0,0,0,0,1.27E+07,0,1.27E+07,1.27E+07,0
10.0.2.15-10.0.2.5-40905-5432-6,10.0.2.15,40905,10.0.2.5,5432,6,15/12/2025 11:07:21 PM,21806634,2,1,0,0,0,0,0,0,0,0,0,0,0,0.137572814,1.09E+07,1.54E+07,2.18E+07,1323,2.18E+07,2.18E+07,0,2.18E+07,2.18E+07,0,0,0,0,0,0,0,0,0,64,32,0.091715209,0.045857605,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,502,46,0,32,0,0,0,0,2.18E+07,0,2.18E+07,2.18E+07,0
10.0.2.15-10.0.2.5-40021-5432-6,10.0.2.15,40021,10.0.2.5,5432,6,15/12/2025 11:09:02 PM,12599047,2,1,0,0,0,0,0,0,0,0,0,0,0,0.238113248,6299523.5,8906480.135,1.26E+07,1691,1.26E+07,1.26E+07,0,1.26E+07,1.26E+07,0,0,0,0,0,0,0,0,0,64,32,0.158742165,0.079371083,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,502,46,0,32,0,0,0,0,1.26E+07,0,1.26E+07,1.26E+07,0
10.0.2.15-10.0.2.5-42557-5432-6,10.0.2.15,42557,10.0.2.5,5432,6,15/12/2025 11:08:49 PM,12659058,2,1,0,0,0,0,0,0,0,0,0,0,0,0.236984458,6329529,8948545.21,1.27E+07,1952,1.27E+07,1.27E+07,0,1.27E+07,1.27E+07,0,0,0,0,0,0,0,0,0,64,32,0.157989639,0.078994819,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,502,46,0,32,0,0,0,0,1.27E+07,0,1.27E+07,1.27E+07,0
